Name,Price,Date
NVIDIA MSI GeForce GTX 1080 Founders Edition Pascal graphics card 8GB,279.99,29 Jan 2020
"EVGA GeForce GTX 1080 SC GAMING ACX 3.0, 8GB GDDR5X, LED, DX12",239.0,30 Jan 2020
MSI GTX 1070 GAMING X 8G GeForce 8 GB GDDR5 VR Ready Graphics Card - Black,200.0,31 Jan 2020
Nvidia Geforce GTX 1080 Founders Edition,230.0,1 Feb 2020
MSI GTX 1080 ARMOR 8G OC Graphics Card,245.0,1 Feb 2020
Palit GeForce GTX 1080 GameRock GPU Graphics Card 8GB GDDR5X Immaculate,265.0,2 Feb 2020
ASUS ROG GeForce Advanced edtion STRIX-GTX1080 8GB NVIDIA GPU Graphics Card,295.0,2 Feb 2020
MSI NVIDIA GeForce GTX 1080 8GB GDDR5X Graphics Card (GTX 1080 AERO 8G OC),275.99,3 Feb 2020
EVGA Nvidia GeForce GTX SC ACX3.0 1080 8GB DDR5X Gaming Graphics Card ,225.0,3 Feb 2020
"MSI Gaming GeForce GTX 1080 ARMOR 8G OC ,graphic card 8 GB ",255.0,3 Feb 2020
MSI Nvidia GeForce GTX 1080 AERO TURBO EDITION 8GB GDDR5X GPU Graphics Card  ,299.0,3 Feb 2020
ASUS ROG GeForce Advanced edtion STRIX-GTX1080 8GB NVIDIA GPU Graphics Card,290.0,3 Feb 2020
ASUS Strix OC GeForce GTX 1080 8GB GDDR5X Graphics Card,250.0,4 Feb 2020
ZOTAC Geforce GTX1080 AMP! Edition Nvidia Geforce Graphics Card GPU VR Ready,279.0,4 Feb 2020
Gigabyte GeForce GTX 1080 Founders Edition,300.0,4 Feb 2020
MSI GTX 1080 ARMOR 8G Gaming Graphics Card 8GB GPU ,289.99,5 Feb 2020
"EVGA GeForce GTX 1080 SC2 GAMING, 08G-P4-6583-KR, 8GB GDDR5X, iCX Graphics Card",375.0,5 Feb 2020
Asus GeForce Gtx 1080 Turbo Gddr5x Graphics Card,234.0,5 Feb 2020
ASUS Strix OC GeForce GTX 1080 8GB GDDR5X Graphics Card,260.0,6 Feb 2020
MSI Nvidia GeForce GTX 1080 AERO TURBO EDITION 8GB GDDR5X GPU Graphics Card  ,299.0,7 Feb 2020
Nvidia Geforce GTX 1080 8GB GDDR5X - INNO3D VR Ready PC Graphics Card (#1),250.0,7 Feb 2020
Palit NVIDIA GeForce GTX 1080 8GB GameRock1 Premium Edition***,210.5,8 Feb 2020
EVGA Nvidia GeForce GTX SC ACX3.0 1080 8GB DDR5X Gaming Graphics Card CLEARANCE!,319.0,8 Feb 2020
Nvidia GeForce GTX 1080 Founders Edition - 8GB,280.0,8 Feb 2020
Dell Msi Nvidia Geforce GTX 1080 8GB GDDR5,210.0,8 Feb 2020
GIGABYTE NVIDIA GeForce GTX 1080 G1 GAMING 8GB Graphics Card (GV-N1080G1),255.0,9 Feb 2020
MSI NVIDIA GeForce GTX 1080 SEA HAWK X 8GB GDDR5X Liquid-Cooled PC Graphics Card,325.0,10 Feb 2020
EVGA GTX 1080 SC,237.0,10 Feb 2020
MSI NVIDIA GeForce GTX 1080 Gaming X PLUS  8GB GDDR5X GRAPHICS CARD - PERFECT,275.0,10 Feb 2020
Palit NVIDIA GeForce GTX 1080 8GB GameRock,243.0,11 Feb 2020
Zotac NVIDIA GeForce GTX 1080 8 GB Mini Graphics Card - Black  tadasm9,270.0,11 Feb 2020
EVGA NVIDIA GeForce GTX 1080 SC SUPERCLOCKED 8GB GDDR5X,289.0,12 Feb 2020
EVGA NVIDIA GeForce GTX 1080 SC SUPERCLOCKED 8GB GDDR5X,289.0,12 Feb 2020
"Nvidia GTX 1080 - Zotac Amp Extreme 8GB,  Boost Clock: 1911MHz",235.0,12 Feb 2020
EVGA Nvidia GeForce GTX SC ACX3.0 1080 8GB DDR5X Gaming Graphics Card CLEARANCE!,319.0,12 Feb 2020
"Nvidia GTX 1080 Palit Super JetStream 8gb Graphics Card, Gaming GPU",250.0,12 Feb 2020
Gigabyte Xtreme Gaming Nvidia GTX 1080,280.0,12 Feb 2020
Nvidia Geforce GTX 1080 8GB Graphics Card - Palit Super Jetstream,249.0,13 Feb 2020
MSI Geforce GTX 1080 Armor Edition ,275.0,14 Feb 2020
