Name,Price,Date
NVIDIA Geforce RTX 2080 PG180 8GB,509.0,9 Feb 2020
ASUS NVIDIA GeForce RTX 2080 8GB TURBO Turing,597.41,9 Feb 2020
ASUS NVIDIA GeForce RTX 2080 8GB TURBO Turing,450.0,10 Feb 2020
MSI GeForce RTX 2080 Super Ventus OC 8GB Graphics Card good cond,550.0,16 Feb 2020
NVIDIA Geforce RTX 2080 8gb Founders Edition,500.0,18 Feb 2020
ZOTAC GeForce RTX 2080 Super 8GB - Used for a few hours,535.0,19 Feb 2020
Nvidia Geforce Aorus RTX 2080 Super 8GB GDDR6 Graphics Card,610.0,20 Feb 2020
Nvidia Geforce RTX 2080 MSI Gaming Trio 8GB GDDR6 Graphics Card,495.0,21 Feb 2020
Palit RTX 2080 Dual 8GB,415.0,21 Feb 2020
GIGABYTE NVIDIA GeForce RTX 2080 8GB GDDR6 Graphics Card (GVN2080GAMINGOC8GC),429.99,22 Feb 2020
Nvidia Gigabyte RTX 2080 Graphics Card RGB LED Windforce 8Gb DDR6,485.0,28 Feb 2020
"EVGA GeForce RTX 2080 8GB GDDR6 XC Ultra - VR, 4k, Ray Tracing Graphics Card",500.0,2 Mar 2020
Nvidia GeForce RTX 2080 Super EVGA XC HYBRID AIO 8GB GDDR6 Graphics Card,625.0,3 Mar 2020
MSI GeForce RTX 2080 Duke 8G OC VGA PCI-E x16 (V372),412.99,6 Mar 2020
Nvidia Geforce RTX 2080 ASUS Dual 8GB GDDR6 Graphics Card,480.0,11 Mar 2020
Dell Alienware Nvidia RTX-2080 RTX 2080 8Gb PCIe Performance Graphics Card excl.,479.0,12 Mar 2020
Nvidia Geforce RTX 2080 MSI Gaming Trio 8GB GDDR6 Graphics Card,495.0,12 Mar 2020
Zotac Nvidia Geforce RTX 2080 8GB GDDR6 GTX 4K Gaming,499.0,15 Mar 2020
MSI RTX 2080 Aero 8gb Graphics Card Nvidia - Nearly new,421.0,15 Mar 2020
Nvidia GeForce RTX 2080 Super EVGA XC HYBRID AIO 8GB GDDR6 Graphics Card 2,625.0,17 Mar 2020
Nvidia GeForce RTX 2080 Graphics card 8gb memory GDDR6,580.0,18 Mar 2020
GIGABYTE NVIDIA GeForce RTX 2080 8GB GDDR6 Graphics Card (GVN2080GAMINGOC8GC),499.0,18 Mar 2020
Nvidia GeForce RTX 2080 AMP! Extreme Edition 8GB GDDR6 VR Gaming Graphics Card,496.0,20 Mar 2020
Gigabyte Aorus GeForce RTX 2080 Super 8GB GDDR6 very good condition,600.0,21 Mar 2020
Gigabyte Aorus GeForce RTX 2080 Super 8GB GDDR6 perfect cond. (£580 WITH CODE),610.0,22 Mar 2020
ZOTAC Gaming GeForce RTX 2080 AMP Gaming Graphics Card *See Details*,425.76,12 Feb 2020
EVGA Nvidia GeForce RTX 2080 XC ULTRA GAMING RGB Overclocked Video Graphics Card,492.19,15 Feb 2020
ASUS ROG Strix GeForce RTX 2080 OC Edition 8GB GDDR6 Graphics Card,340.61,19 Feb 2020
RTX 2070 SUPER GAMING OC 8GB,361.9,24 Feb 2020
ASUS GeForce RTX 2080 O8G Dual-fan OC Edition GDDR6 NZXT Kraken G12 Water Cooler,434.28,24 Feb 2020
RTX 2070 SUPER GAMING OC 8GB,357.64,24 Feb 2020
NVIDIA GeForce RTX 2080 8GB OEM GDDR6 Graphic Card,344.87,24 Feb 2020
HP NVIDIA GeForce RTX 2080 8GB OEM GDDR6  Graphics Card,357.64,29 Feb 2020
ASUS GeForce RTX 2080 Super 8GB GDDR6 DUAL-RTX2080-SUPER-08G-EVO FREE SHIPPING!,527.95,1 Mar 2020
ASUS GeForce RTX 2080 Super 8GB GDDR6 DUAL-RTX2080-SUPER-08G-EVO FREE SHIPPING!,519.43,2 Mar 2020
MSI VENTUS OC NVIDIA GeForce RTX 2080 8GB GDDR6 PCI Express 3.0,408.74,5 Mar 2020
GIGABYTE NVIDIA GeForce RTX 2080 8GB GDDR6 Graphics Card (GV-N2080WF3-8GC),459.83,8 Mar 2020
RTX 2070 SUPER,361.9,9 Mar 2020
EVGA GeForce RTX 2080 4GB GDDR5 Graphics Card (08G-P4-3183-KR),404.48,10 Mar 2020
EVGA NVIDIA GeForce RTX 2080 Black Edition Gaming Graphics Card (08G-P4-2081-KR),442.8,14 Mar 2020
MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Ventus OC 8GB 256-Bit GDDR6,557.75,14 Mar 2020
RTX 2070 SUPER  VENTUS OC 8GB,366.16,16 Mar 2020
Nvidia Geforce RTX 2080 8GB ASUS Turbo Gaming Graphics Card ,468.34,19 Mar 2020
