Name,Price,Date
Gigabyte GeForce GTX 1070 G1 Gaming OC edition - 8GB GDDR5 PCI-E  ,198.0,29 Jan 2020
"MSI NVIDIA GeForce GTX 1070 8GB Gaming X Graphics Card boxed, mint condition",175.0,29 Jan 2020
GIGABYTE NVIDIA GeForce GTX 1070 G1 Gaming 8GB GDDR5 Graphics Card,199.0,30 Jan 2020
PALIT GEFORCE GTX 1070,170.0,30 Jan 2020
ASUS NVIDIA GeForce GTX 1070 8gb Dual OC Gddr5 Graphics Card,195.0,31 Jan 2020
GeForce GTX GTX 1070 Mini ITX OC 8GB GDDR5 NO BOX,199.0,31 Jan 2020
ZOTAC NVIDIA GeForce GTX 1070 Mini 8GB GDDR5 Graphics Card (ZT-P10700G-10M),159.0,31 Jan 2020
MSI GTX 1070 GAMING X 8G GeForce 8 GB GDDR5 VR Ready Graphics Card - Black,200.0,31 Jan 2020
Palit Nvidia GeForce GTX 1070 8G Dual Fan Graphics Card GDDR5 no box,185.0,31 Jan 2020
ASUS GTX 1070 STRIX OC 8G Graphics Card 8GB GPU + BOX,229.99,31 Jan 2020
USED NVIDIA GeForce GTX 1070 Video Graphics Card ASUS GDDR5 8GB DUAL OC Computer,199.95,31 Jan 2020
ZOTAC NVIDIA GeForce GTX 1070 Mini 8GB GDDR5 Graphic Card.,150.0,31 Jan 2020
GeForce GTX 1070 GPU 8GB DDR5 MXM 3.0 Type B for Alienware Clevo MSI etc,395.0,31 Jan 2020
MSI Nvidia GeForce GTX 1070 AERO 8G OC 8GB Graphics Card GDDR5 ,175.0,1 Feb 2020
Palit GTX 1070  JetStream Nvidia GeForce Graphics Card,200.0,1 Feb 2020
GTX 1070 Geforce Nvidia Founders FE Gaming Graphics Card 8GB GPU GTX1070,175.0,1 Feb 2020
ASUS ROG Strix GeForce GTX 1070 8GB GDDR5 Graphics Card / VR Ready / NVIDIA,208.0,2 Feb 2020
Zotac GeForce GTX 1070 AMP! (AMP) Edition,160.0,2 Feb 2020
EVGA GeForce GTX 1070 FTW GAMING (08G-P4-6276-KR) 8GB GDDR5 Graphics Card,185.0,2 Feb 2020
EVGA Superclocked NVIDIA Geforce GTX 1070 8GB GDDR5,168.0,2 Feb 2020
ASUS ROG STRIX GAMING NVIDIA GEFORCE GTX 1070 8GB OC EDITION GRAPHICS VIDEO CARD,185.0,2 Feb 2020
ZOTAC NVIDIA GeForce GTX 1070 Mini 8GB GDDR5 Graphic Card.,190.0,2 Feb 2020
PALIT GEFORCE GTX1070 SUPER JETSTREAM 8GB GDDR5 Mint Condition,199.99,3 Feb 2020
ASUS ROG GeForce STRIX-GTX1070 8 GB Overclocked Gaming Graphics Card,176.0,3 Feb 2020
ZOTAC NVIDIA GeForce GTX 1070 Mini 8GB GDDR5 Graphic Card,157.0,3 Feb 2020
ASUS NVIDIA GeForce GTX 1070 8GB DUAL OC VR Ready Graphic Card,179.0,3 Feb 2020
GIGABYTE NVIDIA GeForce GTX 1070 G1 Gaming 8GB GDDR5 Graphics Card (GV-N1070G1 …,172.0,4 Feb 2020
GIGABYTE NVIDIA GeForce GTX 1070 wf20c Gaming 8GB ,180.0,4 Feb 2020
EVGA GEFORCE GTX 1070 SC ACX3.0,170.0,4 Feb 2020
EVGA GeForce GTX 1070 SC Gaming ACX3.0 Black Edition,175.0,4 Feb 2020
ASUS NVIDIA GeForce GTX 1070 Turbo 8 GB GDDR5 Graphics Card,185.0,4 Feb 2020
KFA2 GTX 1070 8GB,160.0,5 Feb 2020
asus geforce dual-gtx1070-8g,280.0,5 Feb 2020
Zotac 1070 Nvidia graphics card 8gb,165.0,5 Feb 2020
NVIDIA GeForce GTX 1070 MSI Armor 8G OC,176.0,5 Feb 2020
ASUS ROG GeForce STRIX-GTX 1070 8gb,210.0,6 Feb 2020
Asus GeForce GTX 1070 8GB Nvidia Video Card GTX1070-8GD5 Rev 2.0 MSIP-REM-MSQ-GT,156.0,6 Feb 2020
Palit GTX 1070  JetStream Nvidia GeForce Graphics Card,180.0,6 Feb 2020
ASUS ROG STRIX GAMING NVIDIA GEFORCE GTX 1070 8GB OC EDITION GRAPHICS VIDEO CARD,179.0,6 Feb 2020
ZOTAC NVIDIA GeForce GTX 1070 Mini 8GB GDDR5 Graphic Card.,166.0,6 Feb 2020
MSI GeForce GTX 1070 Gaming X 8GB,203.63,6 Feb 2020
GIGABYTE NVIDIA GeForce GTX 1070 8GB GDDR5 Graphic Card ,190.0,6 Feb 2020
PALIT GTX 1070 DUAL 8G Gaming Graphics Card 8GB GPU *FULLY TESTED*,189.99,7 Feb 2020
GIGABYTE GTX 1070 GAMING 8GB Graphics Card GPU BOXED   /9/,232.0,7 Feb 2020
Nvidia Palit Gamerock GTX1070 8GB 1746mhz,160.0,7 Feb 2020
